"female","black","age","education","state","income","vote"
1,0,45,"HS",13,"17-33rd Percentile","NoIntent"
1,0,51,"SomeCol",11,"34-67th Percentile","Gore"
0,0,78,"ColGrad",45,"17-33rd Percentile","NoIntent"
1,1,42,"SomeCol",12,"96-100th Percentile","Gore"
1,0,51,"HS",24,"68-95th Percentile","Bush"
1,0,35,"ColGrad",40,"68-95th Percentile","Bush"
0,0,36,"ColGrad",20,"68-95th Percentile","Bush"
0,0,48,"ColGrad",8,"68-95th Percentile","Gore"
1,0,40,"ColGrad",25,"34-67th Percentile","Bush"
0,1,33,"SomeCol",31,"34-67th Percentile","NoIntent"
1,0,29,"ColGrad",34,"17-33rd Percentile","Gore"
0,0,66,"HS",10,"34-67th Percentile","Bush"
1,0,61,"ColGrad",12,"17-33rd Percentile","Gore"
1,1,74,"<HS",25,"0-16th Percentile","Gore"
1,0,65,"ColGrad",21,"0-16th Percentile","Gore"
1,0,55,"ColGrad",21,"0-16th Percentile","Bush"
1,0,62,"SomeCol",25,"17-33rd Percentile","Gore"
0,0,45,"SomeCol",25,"68-95th Percentile","Bush"
1,0,51,"SomeCol",25,"96-100th Percentile","Gore"
0,0,65,"SomeCol",15,"34-67th Percentile","Bush"
1,0,37,"SomeCol",31,"34-67th Percentile","Gore"
1,0,82,"HS",15,"17-33rd Percentile","Gore"
0,1,61,"HS",25,"34-67th Percentile","Gore"
0,0,57,"SomeCol",25,"0-16th Percentile","Gore"
1,1,57,"HS",31,"0-16th Percentile","Gore"
1,0,56,"SomeCol",3,"68-95th Percentile","Gore"
0,0,81,"ColGrad",24,"17-33rd Percentile","Bush"
1,0,35,"SomeCol",26,"68-95th Percentile","Bush"
0,0,55,"ColGrad",45,"34-67th Percentile","Gore"
1,0,33,"ColGrad",18,"34-67th Percentile","Gore"
1,0,22,"HS",46,"17-33rd Percentile","Gore"
1,0,78,"HS",20,"17-33rd Percentile","Gore"
1,0,79,"ColGrad",46,"17-33rd Percentile","Bush"
1,0,77,"SomeCol",31,"0-16th Percentile","Gore"
1,0,73,"SomeCol",9,"17-33rd Percentile","Bush"
1,0,44,"ColGrad",45,"34-67th Percentile","Gore"
1,0,74,"HS",11,"17-33rd Percentile","Gore"
1,0,88,"SomeCol",12,"0-16th Percentile","Gore"
1,0,29,"SomeCol",13,"0-16th Percentile","Bush"
1,0,76,"HS",13,"17-33rd Percentile","Bush"
1,1,45,"SomeCol",39,"17-33rd Percentile","Gore"
0,0,37,"HS",45,"34-67th Percentile","Gore"
1,0,51,"ColGrad",13,"68-95th Percentile","Gore"
0,0,35,"HS",13,"17-33rd Percentile","Bush"
1,0,36,"HS",44,"34-67th Percentile","Bush"
0,0,27,"SomeCol",35,"34-67th Percentile","Bush"
0,0,32,"HS",8,"34-67th Percentile","Bush"
0,0,67,"SomeCol",25,"34-67th Percentile","Bush"
1,0,56,"HS",8,"34-67th Percentile","Gore"
0,0,39,"HS",29,"17-33rd Percentile","Bush"
1,0,68,"ColGrad",26,"34-67th Percentile","Bush"
1,0,46,"SomeCol",25,"68-95th Percentile","Bush"
0,0,63,"ColGrad",46,"34-67th Percentile","Bush"
1,0,46,"HS",7,"68-95th Percentile","Gore"
0,0,40,"HS",7,"34-67th Percentile","Bush"
1,0,59,"HS",17,"96-100th Percentile","Gore"
1,0,41,"ColGrad",7,"68-95th Percentile","Gore"
0,0,54,"SomeCol",25,"68-95th Percentile","Bush"
0,0,30,"SomeCol",31,"17-33rd Percentile","Bush"
1,0,62,"<HS",45,"34-67th Percentile","Gore"
0,0,53,"ColGrad",8,"34-67th Percentile","Gore"
1,0,56,"SomeCol",17,"34-67th Percentile","Bush"
1,0,52,"ColGrad",22,"17-33rd Percentile","Gore"
1,0,72,"HS",45,"0-16th Percentile","Gore"
0,0,31,"ColGrad",47,"68-95th Percentile","Bush"
1,0,37,"SomeCol",43,"68-95th Percentile","Bush"
1,0,32,"ColGrad",16,"17-33rd Percentile","Bush"
0,0,36,"SomeCol",26,"34-67th Percentile","Gore"
0,0,57,"HS",24,"34-67th Percentile","Bush"
1,0,32,"ColGrad",31,"0-16th Percentile","Bush"
1,0,72,"<HS",22,"0-16th Percentile","Bush"
0,1,43,"HS",27,"17-33rd Percentile","Gore"
0,0,70,"ColGrad",39,"34-67th Percentile","Gore"
0,0,46,"ColGrad",7,"34-67th Percentile","Gore"
1,0,66,"HS",12,"0-16th Percentile","Bush"
0,0,34,"SomeCol",39,"34-67th Percentile","Bush"
1,0,30,"HS",9,"34-67th Percentile","Bush"
0,0,26,"SomeCol",47,"17-33rd Percentile","Bush"
0,0,62,"ColGrad",9,"17-33rd Percentile","Bush"
0,0,28,"HS",14,"34-67th Percentile","Gore"
1,0,65,"ColGrad",14,"34-67th Percentile","Gore"
1,0,84,"SomeCol",31,"0-16th Percentile","Bush"
0,1,35,"ColGrad",6,"34-67th Percentile","Bush"
1,0,51,"SomeCol",44,"17-33rd Percentile","Gore"
0,0,31,"HS",13,"34-67th Percentile","Gore"
0,0,54,"SomeCol",45,"68-95th Percentile","Gore"
0,0,28,"ColGrad",31,"34-67th Percentile","Bush"
1,0,82,"HS",14,"17-33rd Percentile","NoIntent"
0,0,50,"SomeCol",17,"34-67th Percentile","Bush"
1,0,90,"SomeCol",17,"17-33rd Percentile","NoIntent"
1,0,50,"ColGrad",3,"34-67th Percentile","Gore"
1,0,42,"HS",31,"0-16th Percentile","Gore"
1,0,29,"ColGrad",38,"68-95th Percentile","Bush"
1,0,60,"HS",45,"17-33rd Percentile","Gore"
1,0,59,"SomeCol",17,"17-33rd Percentile","NoIntent"
0,0,55,"HS",35,"0-16th Percentile","Gore"
1,0,30,"ColGrad",3,"0-16th Percentile","Gore"
0,0,79,"HS",15,"17-33rd Percentile","Bush"
1,0,24,"HS",13,"34-67th Percentile","Bush"
0,0,46,"SomeCol",13,"68-95th Percentile","Bush"
0,0,56,"ColGrad",35,"96-100th Percentile","Bush"
0,0,64,"ColGrad",31,"17-33rd Percentile","Bush"
0,0,70,"SomeCol",25,"34-67th Percentile","Gore"
1,0,66,"HS",13,"68-95th Percentile","Bush"
0,0,78,"HS",13,"17-33rd Percentile","Bush"
1,0,40,"SomeCol",13,"0-16th Percentile","NoIntent"
1,0,89,"HS",31,"0-16th Percentile","Gore"
0,0,30,"SomeCol",12,"17-33rd Percentile","NoIntent"
1,0,41,"ColGrad",29,"34-67th Percentile","Bush"
1,0,74,"SomeCol",25,"17-33rd Percentile","Gore"
1,1,53,"HS",27,"17-33rd Percentile","Gore"
1,0,24,"SomeCol",26,"34-67th Percentile","Bush"
0,0,43,"ColGrad",30,"68-95th Percentile","Gore"
0,0,22,"SomeCol",23,"0-16th Percentile","Gore"
1,1,57,"ColGrad",28,"34-67th Percentile","Gore"
1,0,36,"HS",30,"17-33rd Percentile","Bush"
1,0,44,"HS",31,"34-67th Percentile","Bush"
0,0,36,"HS",45,"17-33rd Percentile","Bush"
1,0,49,"SomeCol",45,"17-33rd Percentile","Gore"
1,0,51,"SomeCol",31,"34-67th Percentile","Bush"
0,0,57,"SomeCol",29,"17-33rd Percentile","Bush"
1,0,75,"SomeCol",10,"68-95th Percentile","Gore"
0,1,24,"HS",29,"17-33rd Percentile","Gore"
0,0,64,"SomeCol",34,"0-16th Percentile","Gore"
1,0,38,"SomeCol",47,"68-95th Percentile","Gore"
1,0,82,"<HS",31,"0-16th Percentile","Gore"
1,0,71,"HS",26,"0-16th Percentile","NoIntent"
0,0,35,"ColGrad",5,"68-95th Percentile","Gore"
0,0,58,"SomeCol",37,"0-16th Percentile","Bush"
0,0,55,"ColGrad",13,"68-95th Percentile","Gore"
1,0,59,"HS",41,"34-67th Percentile","Gore"
1,0,84,"HS",24,"0-16th Percentile","Gore"
0,0,43,"SomeCol",24,"17-33rd Percentile","NoIntent"
1,0,24,"SomeCol",3,"68-95th Percentile","NoIntent"
1,0,43,"SomeCol",22,"34-67th Percentile","Bush"
0,0,51,"SomeCol",29,"17-33rd Percentile","Gore"
0,0,74,"ColGrad",47,"34-67th Percentile","Gore"
0,0,40,"ColGrad",13,"68-95th Percentile","Bush"
0,0,39,"ColGrad",9,"68-95th Percentile","Bush"
1,0,61,"HS",18,"17-33rd Percentile","Bush"
1,0,63,"ColGrad",35,"68-95th Percentile","Bush"
0,0,31,"ColGrad",15,"68-95th Percentile","Gore"
0,0,61,"HS",14,"17-33rd Percentile","NoIntent"
1,0,58,"SomeCol",29,"34-67th Percentile","Bush"
1,0,51,"ColGrad",45,"68-95th Percentile","Gore"
1,0,82,"ColGrad",35,"17-33rd Percentile","Gore"
0,0,82,"HS",1,"17-33rd Percentile","Bush"
0,0,72,"<HS",13,"17-33rd Percentile","Bush"
1,0,72,"ColGrad",9,"34-67th Percentile","Gore"
1,0,70,"HS",31,"34-67th Percentile","Bush"
1,0,51,"ColGrad",12,"68-95th Percentile","Bush"
0,0,26,"ColGrad",11,"34-67th Percentile","Bush"
1,0,33,"SomeCol",21,"17-33rd Percentile","Gore"
1,0,58,"SomeCol",45,"68-95th Percentile","Gore"
1,1,37,"SomeCol",11,"34-67th Percentile","Gore"
0,0,54,"ColGrad",20,"68-95th Percentile","Bush"
0,0,22,"HS",45,"68-95th Percentile","Gore"
0,0,49,"ColGrad",26,"68-95th Percentile","NoIntent"
1,0,72,"HS",25,"0-16th Percentile","Gore"
0,0,49,"ColGrad",35,"68-95th Percentile","Gore"
1,0,24,"SomeCol",22,"68-95th Percentile","Gore"
1,0,33,"SomeCol",8,"0-16th Percentile","Bush"
0,0,20,"SomeCol",8,"68-95th Percentile","Bush"
0,1,52,"HS",31,"17-33rd Percentile","Gore"
0,0,54,"ColGrad",31,"68-95th Percentile","Gore"
1,0,26,"HS",8,"0-16th Percentile","Bush"
0,0,59,"HS",13,"34-67th Percentile","Gore"
1,0,70,"ColGrad",10,"68-95th Percentile","Bush"
0,0,43,"ColGrad",10,"96-100th Percentile","Gore"
0,0,51,"ColGrad",10,"68-95th Percentile","Gore"
1,0,25,"SomeCol",31,"34-67th Percentile","Bush"
0,0,41,"SomeCol",31,"17-33rd Percentile","Bush"
0,0,22,"HS",8,"68-95th Percentile","Gore"
1,0,39,"SomeCol",47,"34-67th Percentile","Gore"
0,0,82,"HS",47,"17-33rd Percentile","Gore"
1,0,48,"HS",22,"34-67th Percentile","NoIntent"
0,0,48,"SomeCol",45,"34-67th Percentile","Gore"
1,0,46,"SomeCol",45,"17-33rd Percentile","Gore"
0,0,58,"HS",45,"17-33rd Percentile","Gore"
0,0,37,"SomeCol",14,"17-33rd Percentile","NoIntent"
1,0,61,"HS",14,"17-33rd Percentile","Gore"
1,1,23,"ColGrad",14,"96-100th Percentile","Gore"
1,0,58,"HS",3,"17-33rd Percentile","Gore"
1,1,64,"<HS",27,"0-16th Percentile","Gore"
1,1,75,"HS",26,"0-16th Percentile","Gore"
1,0,27,"ColGrad",17,"68-95th Percentile","Bush"
1,0,75,"HS",17,"0-16th Percentile","Gore"
0,0,39,"ColGrad",47,"96-100th Percentile","NoIntent"
1,0,28,"SomeCol",27,"68-95th Percentile","Bush"
0,0,60,"HS",27,"68-95th Percentile","Bush"
1,0,34,"ColGrad",27,"68-95th Percentile","Bush"
0,0,74,"HS",23,"17-33rd Percentile","Gore"
1,0,36,"SomeCol",26,"68-95th Percentile","Gore"
1,1,25,"HS",23,"0-16th Percentile","Gore"
1,1,36,"SomeCol",26,"68-95th Percentile","Gore"
0,0,41,"SomeCol",23,"34-67th Percentile","Bush"
1,0,24,"HS",23,"17-33rd Percentile","Bush"
0,0,71,"ColGrad",45,"68-95th Percentile","Gore"
1,0,49,"ColGrad",45,"68-95th Percentile","Gore"
1,0,21,"SomeCol",46,"0-16th Percentile","Gore"
1,0,20,"HS",46,"17-33rd Percentile","Gore"
1,0,55,"ColGrad",12,"68-95th Percentile","Gore"
1,0,69,"HS",12,"17-33rd Percentile","Gore"
1,0,65,"HS",12,"34-67th Percentile","Gore"
1,0,31,"SomeCol",12,"68-95th Percentile","Gore"
1,0,47,"HS",12,"34-67th Percentile","Bush"
1,0,75,"HS",12,"17-33rd Percentile","Gore"
1,0,26,"SomeCol",10,"17-33rd Percentile","Bush"
0,0,44,"SomeCol",10,"17-33rd Percentile","Bush"
1,0,83,"HS",10,"0-16th Percentile","Bush"
0,0,43,"SomeCol",10,"34-67th Percentile","NoIntent"
1,0,26,"ColGrad",11,"34-67th Percentile","Bush"
0,0,73,"ColGrad",3,"34-67th Percentile","Gore"
0,0,59,"ColGrad",10,"68-95th Percentile","Bush"
1,0,62,"SomeCol",47,"0-16th Percentile","Gore"
1,0,56,"SomeCol",45,"68-95th Percentile","Gore"
1,0,41,"SomeCol",45,"34-67th Percentile","Gore"
1,0,68,"SomeCol",39,"17-33rd Percentile","Bush"
1,0,22,"SomeCol",39,"17-33rd Percentile","Bush"
0,0,23,"HS",47,"0-16th Percentile","Bush"
1,1,61,"SomeCol",33,"17-33rd Percentile","Gore"
0,0,34,"SomeCol",14,"34-67th Percentile","Bush"
0,0,34,"ColGrad",14,"34-67th Percentile","Bush"
1,0,40,"ColGrad",3,"34-67th Percentile","Gore"
1,0,30,"ColGrad",3,"68-95th Percentile","Gore"
1,0,68,"ColGrad",4,"68-95th Percentile","Bush"
0,1,32,"HS",8,"0-16th Percentile","Gore"
1,0,51,"HS",8,"17-33rd Percentile","Gore"
0,0,45,"SomeCol",8,"68-95th Percentile","Bush"
0,0,64,"HS",46,"17-33rd Percentile","Gore"
1,0,75,"<HS",46,"17-33rd Percentile","Gore"
0,0,76,"<HS",46,"17-33rd Percentile","Gore"
0,0,39,"HS",47,"34-67th Percentile","Gore"
1,0,28,"HS",46,"17-33rd Percentile","Bush"
1,0,62,"SomeCol",7,"34-67th Percentile","Gore"
0,0,24,"SomeCol",7,"96-100th Percentile","Gore"
0,1,63,"HS",23,"34-67th Percentile","Gore"
0,1,40,"HS",23,"0-16th Percentile","Gore"
0,0,45,"HS",47,"34-67th Percentile","Bush"
1,0,40,"SomeCol",15,"68-95th Percentile","Gore"
0,0,52,"SomeCol",15,"68-95th Percentile","Bush"
1,0,59,"ColGrad",15,"68-95th Percentile","Gore"
1,0,32,"ColGrad",43,"68-95th Percentile","Gore"
1,0,68,"HS",7,"17-33rd Percentile","Gore"
0,0,65,"HS",7,"68-95th Percentile","Bush"
1,0,78,"SomeCol",7,"34-67th Percentile","Bush"
0,1,52,"HS",26,"34-67th Percentile","Gore"
1,0,57,"HS",23,"68-95th Percentile","Bush"
0,0,23,"ColGrad",46,"17-33rd Percentile","Gore"
1,0,34,"SomeCol",10,"17-33rd Percentile","Gore"
0,0,42,"SomeCol",18,"68-95th Percentile","Bush"
1,0,46,"ColGrad",10,"17-33rd Percentile","Gore"
0,0,23,"HS",45,"17-33rd Percentile","NoIntent"
0,0,35,"SomeCol",45,"68-95th Percentile","Gore"
1,0,77,"HS",3,"17-33rd Percentile","Gore"
1,0,58,"ColGrad",4,"17-33rd Percentile","Gore"
0,0,51,"HS",45,"34-67th Percentile","Bush"
1,0,43,"ColGrad",45,"96-100th Percentile","Bush"
1,0,21,"HS",43,"17-33rd Percentile","Gore"
1,0,43,"HS",43,"34-67th Percentile","Gore"
1,0,26,"HS",43,"17-33rd Percentile","Bush"
1,0,35,"HS",3,"17-33rd Percentile","Bush"
1,0,26,"ColGrad",39,"68-95th Percentile","Gore"
1,1,41,"HS",12,"34-67th Percentile","Gore"
1,0,36,"ColGrad",31,"34-67th Percentile","Bush"
1,0,70,"ColGrad",45,"68-95th Percentile","Gore"
0,0,31,"SomeCol",8,"68-95th Percentile","Gore"
0,0,40,"SomeCol",15,"68-95th Percentile","Gore"
1,1,50,"SomeCol",14,"0-16th Percentile","Gore"
0,1,43,"SomeCol",14,"17-33rd Percentile","Gore"
1,0,56,"ColGrad",12,"68-95th Percentile","Gore"
0,0,41,"SomeCol",7,"68-95th Percentile","Bush"
1,0,25,"SomeCol",43,"34-67th Percentile","Bush"
0,1,27,"SomeCol",31,"17-33rd Percentile","Gore"
1,0,44,"HS",31,"17-33rd Percentile","Gore"
0,0,40,"ColGrad",9,"68-95th Percentile","Gore"
0,0,39,"ColGrad",13,"34-67th Percentile","Gore"
0,0,67,"SomeCol",13,"17-33rd Percentile","Gore"
1,0,34,"ColGrad",45,"96-100th Percentile","Gore"
0,0,85,"ColGrad",45,"34-67th Percentile","Gore"
1,0,58,"HS",22,"34-67th Percentile","Gore"
0,0,63,"HS",12,"34-67th Percentile","Bush"
1,1,56,"ColGrad",45,"34-67th Percentile","Gore"
1,0,32,"ColGrad",45,"68-95th Percentile","Gore"
0,0,40,"SomeCol",17,"34-67th Percentile","Gore"
0,0,40,"SomeCol",45,"34-67th Percentile","Bush"
0,0,73,"ColGrad",45,"34-67th Percentile","Bush"
0,0,73,"ColGrad",45,"34-67th Percentile","Bush"
1,0,61,"SomeCol",45,"34-67th Percentile","Bush"
1,0,50,"SomeCol",45,"68-95th Percentile","Gore"
1,0,42,"ColGrad",45,"34-67th Percentile","Bush"
0,0,43,"ColGrad",9,"17-33rd Percentile","Bush"
0,0,55,"SomeCol",7,"68-95th Percentile","Gore"
1,0,36,"ColGrad",31,"96-100th Percentile","Bush"
1,0,30,"ColGrad",31,"68-95th Percentile","Gore"
0,0,71,"<HS",31,"0-16th Percentile","Gore"
1,0,38,"ColGrad",31,"68-95th Percentile","Bush"
1,0,54,"SomeCol",12,"34-67th Percentile","Gore"
1,0,24,"HS",31,"0-16th Percentile","Gore"
0,1,49,"SomeCol",31,"68-95th Percentile","Gore"
1,0,50,"HS",11,"68-95th Percentile","Gore"
0,0,29,"HS",11,"17-33rd Percentile","Gore"
1,0,51,"ColGrad",11,"34-67th Percentile","Bush"
0,0,37,"ColGrad",31,"34-67th Percentile","Gore"
0,0,56,"ColGrad",31,"68-95th Percentile","Bush"
0,0,50,"ColGrad",8,"68-95th Percentile","Bush"
0,0,41,"<HS",8,"17-33rd Percentile","Gore"
1,0,21,"HS",8,"96-100th Percentile","NoIntent"
1,0,21,"HS",11,"34-67th Percentile","Bush"
0,0,36,"HS",11,"17-33rd Percentile","Gore"
1,0,57,"ColGrad",11,"34-67th Percentile","Bush"
1,0,46,"ColGrad",8,"68-95th Percentile","Gore"
0,0,28,"ColGrad",23,"68-95th Percentile","Bush"
0,0,36,"HS",22,"34-67th Percentile","Bush"
1,0,40,"HS",22,"34-67th Percentile","Gore"
1,1,20,"HS",25,"0-16th Percentile","Bush"
1,0,31,"HS",33,"34-67th Percentile","Gore"
0,0,81,"SomeCol",33,"34-67th Percentile","Gore"
0,1,30,"ColGrad",33,"34-67th Percentile","Gore"
1,0,80,"ColGrad",22,"34-67th Percentile","Gore"
1,0,52,"ColGrad",4,"68-95th Percentile","Gore"
0,0,49,"ColGrad",4,"96-100th Percentile","Bush"
1,0,49,"HS",14,"17-33rd Percentile","Bush"
1,0,21,"SomeCol",43,"17-33rd Percentile","Bush"
1,0,57,"HS",31,"0-16th Percentile","Bush"
1,0,39,"HS",31,"17-33rd Percentile","Bush"
1,0,44,"HS",31,"34-67th Percentile","Gore"
1,0,26,"HS",31,"17-33rd Percentile","Gore"
0,0,22,"SomeCol",11,"68-95th Percentile","Gore"
1,0,82,"<HS",11,"17-33rd Percentile","Bush"
1,1,33,"HS",23,"0-16th Percentile","Bush"
1,1,60,"HS",23,"0-16th Percentile","NoIntent"
0,1,52,"ColGrad",23,"0-16th Percentile","Gore"
0,1,24,"SomeCol",23,"34-67th Percentile","Gore"
0,0,76,"HS",23,"17-33rd Percentile","Gore"
0,0,65,"ColGrad",23,"68-95th Percentile","Bush"
0,0,46,"SomeCol",37,"34-67th Percentile","Gore"
0,0,40,"HS",11,"34-67th Percentile","Bush"
0,0,43,"ColGrad",22,"68-95th Percentile","Gore"
0,0,77,"HS",22,"0-16th Percentile","Gore"
0,0,66,"ColGrad",22,"96-100th Percentile","Gore"
1,1,51,"HS",9,"0-16th Percentile","Gore"
1,0,35,"ColGrad",31,"68-95th Percentile","Bush"
0,0,70,"<HS",31,"17-33rd Percentile","Gore"
1,0,28,"SomeCol",31,"0-16th Percentile","Gore"
1,0,33,"HS",31,"0-16th Percentile","Gore"
1,0,52,"HS",3,"17-33rd Percentile","Gore"
0,0,47,"ColGrad",31,"34-67th Percentile","Gore"
0,0,67,"ColGrad",39,"0-16th Percentile","Gore"
1,0,24,"HS",38,"34-67th Percentile","Bush"
1,0,32,"ColGrad",13,"68-95th Percentile","Bush"
1,0,46,"HS",11,"68-95th Percentile","Bush"
0,0,53,"ColGrad",41,"96-100th Percentile","Gore"
1,0,59,"SomeCol",28,"96-100th Percentile","Bush"
1,1,48,"ColGrad",12,"34-67th Percentile","Gore"
1,1,43,"ColGrad",12,"34-67th Percentile","NoIntent"
1,0,29,"ColGrad",10,"34-67th Percentile","Gore"
0,0,67,"SomeCol",45,"34-67th Percentile","NoIntent"
0,0,46,"ColGrad",12,"17-33rd Percentile","Gore"
0,0,65,"ColGrad",31,"34-67th Percentile","Bush"
1,0,62,"HS",45,"17-33rd Percentile","Gore"
1,0,35,"SomeCol",39,"17-33rd Percentile","Bush"
1,0,56,"ColGrad",46,"17-33rd Percentile","Gore"
0,0,45,"HS",32,"68-95th Percentile","Bush"
0,0,50,"ColGrad",22,"34-67th Percentile","Bush"
1,0,53,"HS",10,"34-67th Percentile","Gore"
1,0,56,"HS",35,"34-67th Percentile","Gore"
0,0,26,"HS",35,"0-16th Percentile","Gore"
1,0,33,"HS",9,"17-33rd Percentile","Bush"
1,0,32,"HS",35,"17-33rd Percentile","Bush"
0,1,54,"SomeCol",42,"34-67th Percentile","Gore"
0,0,55,"ColGrad",30,"34-67th Percentile","Bush"
0,0,25,"ColGrad",35,"68-95th Percentile","Bush"
1,1,42,"HS",25,"0-16th Percentile","Bush"
1,0,23,"ColGrad",25,"68-95th Percentile","Gore"
1,0,59,"HS",47,"68-95th Percentile","Gore"
1,0,75,"HS",10,"17-33rd Percentile","Gore"
1,0,79,"SomeCol",25,"0-16th Percentile","Bush"
1,0,55,"HS",29,"34-67th Percentile","Gore"
1,0,44,"SomeCol",29,"68-95th Percentile","Gore"
1,0,84,"<HS",8,"0-16th Percentile","Gore"
0,0,38,"ColGrad",7,"96-100th Percentile","Bush"
0,0,82,"HS",9,"17-33rd Percentile","Bush"
0,0,83,"ColGrad",12,"34-67th Percentile","Bush"
0,0,69,"HS",8,"34-67th Percentile","Gore"
1,0,56,"HS",26,"34-67th Percentile","Bush"
0,0,30,"SomeCol",39,"34-67th Percentile","Bush"
1,1,19,"HS",31,"17-33rd Percentile","Gore"
0,0,36,"ColGrad",22,"68-95th Percentile","Bush"
1,0,34,"HS",22,"0-16th Percentile","Gore"
0,0,56,"ColGrad",22,"68-95th Percentile","Bush"
1,0,48,"SomeCol",26,"34-67th Percentile","Gore"
1,0,35,"ColGrad",23,"34-67th Percentile","Bush"
0,0,25,"SomeCol",27,"34-67th Percentile","Bush"
1,1,62,"SomeCol",42,"0-16th Percentile","Gore"
0,0,38,"SomeCol",31,"34-67th Percentile","Bush"
0,0,27,"SomeCol",29,"34-67th Percentile","Gore"
1,0,36,"HS",46,"68-95th Percentile","Gore"
0,0,64,"ColGrad",22,"68-95th Percentile","Bush"
1,0,56,"ColGrad",22,"34-67th Percentile","Gore"
0,0,35,"ColGrad",13,"68-95th Percentile","Bush"
1,0,44,"HS",32,"68-95th Percentile","Bush"
0,0,38,"SomeCol",45,"68-95th Percentile","Bush"
1,0,59,"SomeCol",45,"68-95th Percentile","Gore"
1,0,50,"SomeCol",45,"68-95th Percentile","Gore"
0,0,63,"SomeCol",45,"34-67th Percentile","Bush"
1,0,47,"HS",45,"34-67th Percentile","Gore"
0,0,42,"HS",45,"68-95th Percentile","Gore"
0,0,63,"SomeCol",8,"34-67th Percentile","Gore"
0,0,47,"ColGrad",31,"68-95th Percentile","Bush"
1,0,66,"ColGrad",13,"34-67th Percentile","Gore"
1,0,34,"HS",8,"34-67th Percentile","Gore"
